ID,Drop-Off Site Name,Borough,Site Location,Days,Start Time,End Time,,
1,116th Street,Manhattan,116th & Lexington Ave - NW Corner,Wednesday,7AM,10AM,,
2,127 Street & Malcolm X Food Scrap Drop Off Site,Manhattan,127th St. & Malcolm X Blvd.,Wednesday,8AM,11AM,,
3,137th Street - City College,Manhattan,Broadway & Hamilton Place - N (Montefiore Square),Wednesday,7AM,11AM,,
4,145th Street,Manhattan,145th & Edgecombe Ave - NE Corner (Jackie Robinson Park Entrance),Wednesday,6AM,10AM,,
5,149th St - Grand Concourse,Bronx,"Grand Concourse, 149th Street - SE Corner",Friday,7AM,10AM,,
6,157th Street,Manhattan,"157th, Broadway, Riverside Drive (Ilka Tanya Payan Park)",Wednesday,7AM,11AM,,
7,161st Street - Yankee Stadium,Bronx,"161st, River Ave - NE Corner",Friday,7AM,10AM,,
8,175th Street Greenmarket,Manhattan,"175th Street between Wadsworth Avenue and Broadway, New York, NY",Thursday,8AM,2PM,,
9,181st Street,Manhattan,Fort Washington Ave btw. 183rd & 185th - W (Bennett Park Entrance),Wednesday,6AM,11AM,,
10,3rd Ave - 149th St,Bronx,"149th St, Melrose, & 3rd Ave - N Corner",Friday,7AM,10AM,,
11,462 Halsey Community Farm Fresh Food Box,Brooklyn,462 Halsey Street,Saturday,11AM,3PM,,
12,57th St Greenmarket,Manhattan,10th Avenue & West 57th Street,Saturday,8AM,1PM,,
13,"7 Ave B,Q",Brooklyn,Park Pl and Carlton Ave,Wednesday,8AM,10AM,,
14,79th St Greenmarket,Manhattan,Columbus Avenue and 79th Street,Sunday,9AM,1PM,,
15,82nd St Greenmarket [St. Stevens],Manhattan,82nd Street between 1st and York Avenues,Saturday,9AM,1PM,,
16,92nd Street Greenmarket,Manhattan,"1st Ave between 92nd and 93rd St,New York,NY,10128",Sunday,9AM,1PM,,
17,96th Street,Manhattan,96th Street & Lexington Ave - SE Corner (Samuel Seabury Playground),Wednesday,7AM,10AM,,
18,97th Street Greenmarket,Manhattan,"97th St between Columbus & Amsterdam, Manhattan",Friday,8AM,2PM,,
19,Abingdon Square Greenmarket,Manhattan,"West 12 Street and 8 Avenue,New York,NY,10014",Saturday,8AM,1PM,,
20,Bainbridge Avenue Community Garden,Bronx,"2980 Bainbridge Avenue, Bronx, NY 10458",Thursday,4PM,7PM,,
21,Big Reuse Brooklyn,Brooklyn,"69 9th St, Brooklyn, NY, 11215",Thursday & Friday,10AM,6PM,,
22,Bowling Green Greenmarket,Manhattan,"Broadway at Battery Place,New York,NY, 10004",Tuesday,8AM,2PM,,
23,CLOSED FOR THE SEASON: Bronx Borough Hall Greenmarket,Bronx,"Grand Concourse and 161 St, Bronx, NY, 10451",Mondays,8AM,2PM,,
24,BronxWorks Fresh Food Box,Bronx,1130 Grand Concourse,Wednesday,3PM,6PM,,
25,Brook Ave,Bronx,"138th, Brook Ave - NW Corner",Friday,6AM,10AM,,
26,Brooklyn Borough Hall Greenmarket,Brooklyn,"Court St & Montague St, Brooklyn, NY 11201",Saturday & Thursday,"8AM
",4PM,,
