Drop-Off Site Name,Borough,Site Location,Days,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Start Time,End Time
116th Street,Manhattan,116th & Lexington Ave - NW Corner,Wednesday,N,N,Y,N,N,N,N,7,10
127 Street & Malcolm X Food Scrap Drop Off Site,Manhattan,127th St. & Malcolm X Blvd.,Wednesday,N,N,Y,N,N,N,N,8,11
137th Street - City College,Manhattan,Broadway & Hamilton Place - N (Montefiore Square),Wednesday,N,N,Y,N,N,N,N,7,11
145th Street,Manhattan,145th & Edgecombe Ave - NE Corner (Jackie Robinson Park Entrance),Wednesday,N,N,Y,N,N,N,N,6,11
149th St - Grand Concourse,Bronx,"Grand Concourse, 149th Street - SE Corner",Friday,N,N,N,N,Y,N,N,7,10
157th Street,Manhattan,"157th, Broadway, Riverside Drive (Ilka Tanya Payan Park)",Wednesday,N,N,Y,N,N,N,N,7,11
161st Street - Yankee Stadium,Bronx,"161st, River Ave - NE Corner",Friday,N,N,N,N,Y,N,N,7,10
175th Street Greenmarket,Manhattan,"175th Street between Wadsworth Avenue and Broadway, New York, NY",Thursday,N,N,N,Y,N,N,N,8,14
181st Street,Manhattan,Fort Washington Ave btw. 183rd & 185th - W (Bennett Park Entrance),Wednesday,N,N,Y,N,N,N,N,6,11
3rd Ave - 149th St,Bronx,"149th St, Melrose, & 3rd Ave - N Corner",Friday,N,N,N,N,Y,N,N,7,10
462 Halsey Community Farm Fresh Food Box,Brooklyn,462 Halsey Street,Saturday,N,N,N,N,N,Y,N,11,15
57th St Greenmarket,Manhattan,10th Avenue & West 57th Street,Saturday,N,N,N,N,N,Y,N,8,13
"7 Ave B,Q",Brooklyn,Park Pl and Carlton Ave,Wednesday,N,N,Y,N,N,N,N,8,10
79th St Greenmarket,Manhattan,Columbus Avenue and 79th Street,Sunday,N,N,N,N,N,N,Y,9,13
82nd St Greenmarket [St. Stevens],Manhattan,82nd Street between 1st and York Avenues,Saturday,N,N,N,N,N,Y,N,9,13
92nd Street Greenmarket,Manhattan,"1st Ave between 92nd and 93rd St,New York,NY,10128",Sunday,N,N,N,N,N,N,Y,9,13
96th Street,Manhattan,96th Street & Lexington Ave - SE Corner (Samuel Seabury Playground),Wednesday,N,N,Y,N,N,N,N,7,10
97th Street Greenmarket,Manhattan,"97th St between Columbus & Amsterdam, Manhattan",Friday,N,N,N,N,Y,N,N,8,14
Abingdon Square Greenmarket,Manhattan,"West 12 Street and 8 Avenue,New York,NY,10014",Saturday,N,N,N,N,N,Y,N,8,13
Bainbridge Avenue Community Garden,Bronx,"2980 Bainbridge Avenue, Bronx, NY 10458",Thursday,N,N,N,Y,N,N,N,16,19
Big Reuse Brooklyn,Brooklyn,"69 9th St, Brooklyn, NY, 11215",Thursday & Friday,N,N,N,Y,Y,N,N,10,18
Bowling Green Greenmarket,Manhattan,"Broadway at Battery Place,New York,NY, 10004",Tuesday,N,Y,N,N,N,N,N,8,14
Bronx Borough Hall Greenmarket,Bronx,"Grand Concourse and 161 St, Bronx, NY, 10451",Monday,Y,N,N,N,N,N,N,8,14
BronxWorks Fresh Food Box,Bronx,1130 Grand Concourse,Wednesday,N,N,Y,N,N,N,N,15,18
Brook Ave,Bronx,"138th, Brook Ave - NW Corner",Friday,N,N,N,N,Y,N,N,6,10
